tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
313,59:23.7,04:36.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,47238,Subscriber,1989,1
402,07:31.3,14:14.1,3185,City Hall,40.7177325,-74.043845,3270,Jersey & 6th St,40.72528911,-74.04557168,43498,Subscriber,1981,1
1257,10:54.9,31:52.2,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,42494,Subscriber,1994,2
169,12:29.6,15:19.4,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,48923,Subscriber,1977,1
3169,18:19.1,11:08.2,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,40440,Subscriber,1992,1
1139,18:55.2,37:54.9,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,44703,Subscriber,1996,1
1757,21:03.4,50:21.4,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42133,Subscriber,1972,1
321,21:17.5,26:39.4,3640,Journal Square,40.73367,-74.0625,3207,Oakland Ave,40.7376037,-74.0524783,44664,Subscriber,1963,2
278,21:35.1,26:13.5,3278,Monmouth and 6th,40.72568548,-74.04879034,3273,Manila & 1st,40.72165072,-74.04288411,46537,Subscriber,1992,2
1232,25:13.2,45:45.8,3483,Montgomery St,40.71942,-74.05099,3199,Newport Pkwy,40.7287448,-74.0321082,33911,Subscriber,1986,2
896,25:55.8,40:52.4,3220,5 Corners Library,40.73496102,-74.05950308,3202,Newport PATH,40.7272235,-74.0337589,47045,Customer,1969,0
854,26:17.3,40:31.6,3220,5 Corners Library,40.73496102,-74.05950308,3202,Newport PATH,40.7272235,-74.0337589,40207,Customer,1969,0
557,28:27.1,37:44.5,3281,Leonard Gordon Park,40.74590997,-74.05727148,3640,Journal Square,40.73367,-74.0625,46410,Subscriber,1977,1
619,28:37.9,38:57.8,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,44358,Subscriber,1984,1
933,33:32.0,49:05.1,3677,Glenwood Ave,40.72755147,-74.07106072,3270,Jersey & 6th St,40.72528911,-74.04557168,48857,Subscriber,1959,1
376,35:09.6,41:26.4,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42527,Customer,1998,1
122,37:28.5,39:30.7,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,27777,Subscriber,1987,1
413,40:22.7,47:16.1,3270,Jersey & 6th St,40.72528911,-74.04557168,3205,JC Medical Center,40.71653978,-74.04963791,44603,Subscriber,1990,2
153,42:19.2,44:52.3,3640,Journal Square,40.73367,-74.0625,3220,5 Corners Library,40.73496102,-74.05950308,46410,Subscriber,1977,1
218,46:17.6,49:56.1,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,42575,Subscriber,1959,1
3464,49:25.1,47:09.1,3270,Jersey & 6th St,40.72528911,-74.04557168,3677,Glenwood Ave,40.72755147,-74.07106072,48857,Subscriber,1959,1
468,57:28.7,05:17.6,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42206,Subscriber,1990,2
142,58:19.5,00:42.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,46929,Subscriber,1981,2
210,59:43.1,03:13.1,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,43693,Subscriber,1985,2
138,04:12.1,06:31.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3272,Jersey & 3rd,40.72333159,-74.04595256,46929,Subscriber,1981,2
647,06:25.9,17:13.4,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,33911,Customer,1990,2
1031,06:39.0,23:50.9,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,44913,Subscriber,1975,1
531,08:47.4,17:38.5,3210,Pershing Field,40.74267714,-74.05178863,3278,Monmouth and 6th,40.72568548,-74.04879034,47258,Subscriber,1988,1
360,11:07.9,17:08.7,3203,Hamilton Park,40.72759597,-74.04424731,3483,Montgomery St,40.71942,-74.05099,40858,Subscriber,1979,1
432,16:55.1,24:07.3,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42112,Subscriber,1973,1
616,20:32.9,30:49.5,3199,Newport Pkwy,40.7287448,-74.0321082,3272,Jersey & 3rd,40.72333159,-74.04595256,42575,Customer,1969,0
702,27:10.0,38:52.2,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,44907,Customer,1989,2
653,28:01.5,38:54.9,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,45341,Customer,1986,1
198,29:04.4,32:23.3,3193,Lincoln Park,40.7246051,-74.07840595,3678,Fairmount Ave,40.72572614,-74.07195926,42495,Subscriber,1978,1
604,29:48.3,39:53.1,3186,Grove St PATH,40.71958612,-74.04311746,3199,Newport Pkwy,40.7287448,-74.0321082,42206,Subscriber,1981,1
331,39:22.4,44:54.4,3193,Lincoln Park,40.7246051,-74.07840595,3194,McGinley Square,40.72533993,-74.06762213,42120,Subscriber,1978,1
146,43:38.9,46:05.0,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,48932,Subscriber,1977,1
345,49:07.6,54:53.2,3483,Montgomery St,40.71942,-74.05099,3203,Hamilton Park,40.72759597,-74.04424731,40858,Subscriber,1979,1
329,50:09.7,55:38.8,3639,Harborside,40.7192517,-74.034234,3185,City Hall,40.7177325,-74.043845,29376,Customer,1997,1
396,59:20.1,05:56.8,3267,Morris Canal,40.71241882,-74.03852552,3205,JC Medical Center,40.71653978,-74.04963791,43543,Customer,1969,0
247,00:56.3,05:03.9,3201,Dey St,40.737711,-74.066921,3220,5 Corners Library,40.73496102,-74.05950308,45350,Subscriber,1978,1
523,04:08.3,12:51.7,3679,Bergen Ave,40.72210379,-74.071455,3640,Journal Square,40.73367,-74.0625,42492,Subscriber,1949,2
447,08:32.8,16:00.3,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,46539,Subscriber,1996,1
344,11:51.9,17:36.4,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,41369,Subscriber,1984,1
430,14:28.0,21:38.0,3201,Dey St,40.737711,-74.066921,3194,McGinley Square,40.72533993,-74.06762213,43928,Subscriber,1978,1
344,25:47.8,31:32.0,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,44968,Subscriber,1990,1
267,29:35.2,34:02.7,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,43416,Subscriber,1958,2
